season,episode,song_title,song_url,artist_name,artist_url
1,S1E3,When I Hear My Name,https://www.tunefind.com/song/59233/74457/,The White Stripes,https://www.tunefind.com/artist/the-white-stripes
1,S1E3,Cataract Rag,https://www.tunefind.com/song/83340/105404/,Ken Colyer's Jazzmen,https://www.tunefind.com/artist/ken-colyers-jazzmen
1,S1E3,Five Foot Two,https://www.tunefind.com/song/154768/206655/,Firehouse Five Plus Two,https://www.tunefind.com/artist/firehouse-five-plus-two
1,S1E3,Carinhoso,https://www.tunefind.com/song/269658/358312/,Pixinguinha,https://www.tunefind.com/artist/pixinguinha
1,S1E3,Fascination Waltz,https://www.tunefind.com/song/139284/183794/,The Moonlight Orchestra,https://www.tunefind.com/artist/the-moonlight-orchestra
1,S1E4,I Fought Piranhas,https://www.tunefind.com/song/59237/74461/,The White Stripes,https://www.tunefind.com/artist/the-white-stripes
1,S1E4,Clap Hands,https://www.tunefind.com/song/50403/74462/,Tom Waits,https://www.tunefind.com/artist/tom-waits
1,S1E4,Broken Boy Soldier,https://www.tunefind.com/song/9676/74463/broken-boy-soldiers,The Raconteurs,https://www.tunefind.com/artist/the-raconteurs
1,S1E4,Martha's Dream,https://www.tunefind.com/song/59240/74464/,Nick Cave & Warren Ellis,https://www.tunefind.com/artist/nick-cave-warren-ellis
1,S1E4,Bring It On,https://www.tunefind.com/song/72756/91309/,Nick Cave & The Bad Seeds,https://www.tunefind.com/artist/nick-cave-the-bad-seeds
1,S1E4,Truce,https://www.tunefind.com/song/101497/130211/,Mearl,https://www.tunefind.com/artist/mearl
1,S1E5,Red Right Hand (Single Version) [1998 Remastered Version],https://www.tunefind.com/song/10253/90230/red-right-hand,Nick Cave & The Bad Seeds,https://www.tunefind.com/artist/nick-cave-the-bad-seeds
1,S1E5,God Is In the House (2011 Remastered Edition),https://www.tunefind.com/song/59243/74467/,Nick Cave & The Bad Seeds,https://www.tunefind.com/artist/nick-cave-the-bad-seeds
1,S1E5,Ball and Biscuit,https://www.tunefind.com/song/96897/74465/,The White Stripes,https://www.tunefind.com/artist/the-white-stripes
1,S1E5,Little Cream Soda,https://www.tunefind.com/song/59242/74466/,The White Stripes,https://www.tunefind.com/artist/the-white-stripes
1,S1E5,Bring It On,https://www.tunefind.com/song/72756/74468/,Nick Cave & The Bad Seeds,https://www.tunefind.com/artist/nick-cave-the-bad-seeds
1,S1E5,Time,https://www.tunefind.com/song/66428/83374/,Tom Waits,https://www.tunefind.com/artist/tom-waits
1,S1E5,I Am Stretched On Your Grave,https://www.tunefind.com/song/86268/109546/,Kate Rusby,https://www.tunefind.com/artist/kate-rusby
1,S1E5,Cordial & Water,https://www.tunefind.com/song/161560/216032/,Mearls,https://www.tunefind.com/artist/mearls
